Timp,Nivel de oxigen,Puls cardiac,Mişcare,Memento O2,Memento PR
18:55:24 Dec 16 2025,97,85,6,0,0
18:55:26 Dec 16 2025,97,85,1,0,0
18:55:28 Dec 16 2025,97,85,1,0,0
18:55:30 Dec 16 2025,97,85,1,0,0
18:55:32 Dec 16 2025,97,83,4,0,0
18:55:34 Dec 16 2025,97,83,3,0,0
18:55:36 Dec 16 2025,97,83,23,0,0
18:55:38 Dec 16 2025,97,83,6,0,0
18:55:40 Dec 16 2025,97,83,3,0,0
18:55:42 Dec 16 2025,97,83,1,0,0
18:55:44 Dec 16 2025,97,83,3,0,0
18:55:46 Dec 16 2025,97,83,2,0,0
18:55:48 Dec 16 2025,97,83,0,0,0
18:55:50 Dec 16 2025,97,83,1,0,0
18:55:52 Dec 16 2025,97,83,3,0,0
18:55:54 Dec 16 2025,97,83,3,0,0
18:55:56 Dec 16 2025,97,83,6,0,0
18:55:58 Dec 16 2025,97,83,0,0,0
18:56:00 Dec 16 2025,97,83,0,0,0
18:56:02 Dec 16 2025,97,83,0,0,0
18:56:04 Dec 16 2025,97,74,0,0,0
18:56:06 Dec 16 2025,97,70,0,0,0
18:56:08 Dec 16 2025,97,72,0,0,0
18:56:10 Dec 16 2025,97,73,0,0,0
18:56:12 Dec 16 2025,97,71,0,0,0
18:56:14 Dec 16 2025,97,71,0,0,0
18:56:16 Dec 16 2025,97,73,0,0,0
18:56:18 Dec 16 2025,97,73,0,0,0
18:56:20 Dec 16 2025,97,78,0,0,0
18:56:22 Dec 16 2025,97,84,0,0,0
18:56:24 Dec 16 2025,97,84,1,0,0
18:56:26 Dec 16 2025,96,86,1,0,0
18:56:28 Dec 16 2025,96,87,0,0,0
18:56:30 Dec 16 2025,97,88,0,0,0
18:56:32 Dec 16 2025,97,87,0,0,0
18:56:34 Dec 16 2025,97,84,0,0,0
18:56:36 Dec 16 2025,97,83,0,0,0
18:56:38 Dec 16 2025,97,82,0,0,0
18:56:40 Dec 16 2025,96,81,0,0,0
18:56:42 Dec 16 2025,96,82,0,0,0
18:56:44 Dec 16 2025,96,82,0,0,0
18:56:46 Dec 16 2025,96,83,0,0,0
18:56:48 Dec 16 2025,97,83,0,0,0
18:56:50 Dec 16 2025,97,83,0,0,0
18:56:52 Dec 16 2025,97,83,1,0,0
18:56:54 Dec 16 2025,97,83,1,0,0
18:56:56 Dec 16 2025,97,83,3,0,0
18:56:58 Dec 16 2025,97,83,0,0,0
18:57:00 Dec 16 2025,97,83,5,0,0
18:57:02 Dec 16 2025,97,83,2,0,0
18:57:04 Dec 16 2025,97,83,0,0,0
18:57:06 Dec 16 2025,96,80,1,0,0
18:57:08 Dec 16 2025,96,80,1,0,0
18:57:10 Dec 16 2025,96,80,0,0,0
18:57:12 Dec 16 2025,96,80,2,0,0
18:57:14 Dec 16 2025,96,80,8,0,0
18:57:16 Dec 16 2025,96,80,3,0,0
18:57:18 Dec 16 2025,96,80,0,0,0
18:57:20 Dec 16 2025,96,80,0,0,0
18:57:22 Dec 16 2025,97,82,3,0,0
18:57:24 Dec 16 2025,97,82,1,0,0
18:57:26 Dec 16 2025,97,82,0,0,0
18:57:28 Dec 16 2025,97,82,0,0,0
18:57:30 Dec 16 2025,97,84,0,0,0
18:57:32 Dec 16 2025,97,84,4,0,0
18:57:34 Dec 16 2025,97,84,2,0,0
18:57:36 Dec 16 2025,97,84,2,0,0
18:57:38 Dec 16 2025,97,82,5,0,0
18:57:40 Dec 16 2025,97,81,3,0,0
18:57:42 Dec 16 2025,97,81,6,0,0
18:57:44 Dec 16 2025,97,81,1,0,0
18:57:46 Dec 16 2025,97,80,0,0,0
18:57:48 Dec 16 2025,97,80,0,0,0
18:57:50 Dec 16 2025,97,80,27,0,0
18:57:52 Dec 16 2025,97,80,1,0,0
18:57:54 Dec 16 2025,97,80,0,0,0
18:57:56 Dec 16 2025,96,81,0,0,0
18:57:58 Dec 16 2025,97,80,0,0,0
18:58:00 Dec 16 2025,97,81,0,0,0
18:58:02 Dec 16 2025,97,81,4,0,0
18:58:04 Dec 16 2025,97,81,2,0,0
18:58:06 Dec 16 2025,97,81,2,0,0
18:58:08 Dec 16 2025,97,81,0,0,0
18:58:10 Dec 16 2025,97,81,0,0,0
18:58:12 Dec 16 2025,97,82,0,0,0
18:58:14 Dec 16 2025,97,82,0,0,0
18:58:16 Dec 16 2025,97,80,0,0,0
18:58:18 Dec 16 2025,97,79,0,0,0
18:58:20 Dec 16 2025,97,79,0,0,0
18:58:22 Dec 16 2025,97,81,0,0,0
18:58:24 Dec 16 2025,97,80,0,0,0
18:58:26 Dec 16 2025,97,78,0,0,0
18:58:28 Dec 16 2025,97,79,0,0,0
18:58:30 Dec 16 2025,97,80,1,0,0
18:58:32 Dec 16 2025,97,79,1,0,0
18:58:34 Dec 16 2025,97,80,1,0,0
18:58:36 Dec 16 2025,96,80,1,0,0
